MUN;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
Coração de Maria;22401;54,54;0,592;0,558;0,762;0,489;154;8,65;300;2538
Cordeiros;8168;86,18;0,579;0,561;0,763;0,454;84;10,55;126;997
Coribe;14307;81,02;0,6;0,545;0,807;0,491;127;9,43;145;1394
Coronel João Sá;17066;47,42;0,535;0,545;0,716;0,392;164;7,6;137;1373
Correntina;31249;65,55;0,603;0,575;0,792;0,481;268;8,05;323;2049
Cotegipe;13636;61,52;0,59;0,545;0,746;0,504;110;7,36;114;1000
Cravolândia;5041;74,47;0,599;0,559;0,765;0,503;55;9,22;56;568
Crisópolis;20046;71,59;0,543;0,542;0,765;0,387;196;8,63;212;1399
Cristópolis;13280;64,2;0,614;0,546;0,766;0,553;117;8,7;134;927
Cruz das Almas;58606;84,79;0,699;0,659;0,796;0,65;388;7,24;700;4189
Curaçá;32168;61,35;0,581;0,544;0,778;0,463;259;7,98;364;2552
Dário Meira;12836;60,18;0,54;0,522;0,771;0,392;132;8,37;111;1873
Dias D'Ávila;66440;88,22;0,676;0,651;0,811;0,584;177;3,84;291;2011
Dom Basílio;11355;61,51;0,591;0,547;0,783;0,482;100;9,03;151;891
Elísio Medrado;7947;85,91;0,623;0,59;0,777;0,527;112;12,12;162;462
Encruzilhada;23766;71,18;0,544;0,533;0,754;0,4;183;7,27;166;2493
Entre Rios;39872;71,84;0,615;0,602;0,785;0,492;205;5,7;328;2807
Érico Cardoso;10859;90,31;0,584;0,558;0,758;0,471;130;10,41;150;878
Esplanada;32802;74,38;0,589;0,589;0,74;0,469;208;6,33;328;2547
Euclides da Cunha;56289;70,53;0,567;0,565;0,749;0,43;578;9,23;695;5360
Eunápolis;100196;84,69;0,677;0,687;0,791;0,572;553;5,72;648;5892
Fátima;17652;67,1;0,559;0,554;0,686;0,459;153;8,96;185;1216
Feira da Mata;6184;67,18;0,588;0,527;0,763;0,505;45;8,49;52;639
Feira de Santana;556642;86,61;0,712;0,71;0,82;0,619;2355;5,91;4579;28386
Filadélfia;16740;55,05;0,565;0,553;0,726;0,45;175;8,8;207;1729
Firmino Alves;5384;84,15;0,578;0,596;0,699;0,464;75;9,73;62;572
Floresta Azul;10660;80,2;0,557;0,548;0,731;0,431;127;10,59;137;1445
Formosa do Rio Preto;22528;69,88;0,618;0,576;0,763;0,536;121;5,3;145;1174
Gandu;30336;71,74;0,632;0,645;0,771;0,508;189;6,3;219;1624
Gavião;4561;56,91;0,599;0,566;0,747;0,508;62;10,15;67;266
Gentio do Ouro;10622;69,8;0,559;0,523;0,743;0,45;98;10,45;132;1280
Glória;15076;60,46;0,593;0,563;0,775;0,479;135;8,01;170;965
Gongogi;8357;63,22;0,576;0,543;0,773;0,456;69;7,89;80;1086
Governador Mangabeira;19818;56,2;0,643;0,594;0,754;0,594;127;7,58;245;1365
Guajeru;10412;53,54;0,569;0,548;0,77;0,437;114;11,35;191;995
Guanambi;78833;86,47;0,673;0,663;0,789;0,584;590;7,73;836;4405
Guaratinga;22165;63,5;0,558;0,559;0,766;0,406;222;8,97;191;2112
Heliópolis;13192;76,2;0,563;0,547;0,748;0,437;133;8,69;125;892
Iaçu;25736;69,19;0,574;0,588;0,697;0,461;274;9,18;388;3223
Ibiassucê;10062;85,51;0,611;0,608;0,789;0,476;136;10,81;144;670
Ibicaraí;24272;80,29;0,625;0,609;0,764;0,524;277;10,83;358;2716
Ibicoara;17282;73,61;0,591;0,583;0,731;0,484;76;4,22;104;1019
Ibicuí;15785;83,6;0,584;0,586;0,78;0,435;191;10,02;190;2034
Ibipeba;17008;72,68;0,616;0,577;0,744;0,545;150;8,3;180;1140
Ibipitanga;14171;52,82;0,584;0,553;0,757;0,475;147;10,37;189;1446
Ibiquera;4866;50,55;0,511;0,517;0,771;0,335;48;8,63;67;448
Ibirapitanga;22598;60,62;0,558;0,561;0,748;0,415;174;6,97;158;2121
Ibirapuã;7956;78,89;0,614;0,641;0,774;0,467;90;9,64;87;591
Ibirataia;18943;74,48;0,576;0,571;0,789;0,424;206;9,7;199;2553
Ibitiara;15508;56,74;0,585;0,55;0,744;0,49;189;11,19;263;1717
Ibititá;17840;79,59;0,602;0,554;0,747;0,527;166;8,99;189;1267
Ibotirama;25424;87,09;0,636;0,601;0,78;0,548;169;7,67;234;1638
Ichu;5255;75,74;0,631;0,58;0,771;0,562;64;10,09;75;317
Igaporã;15205;73,74;0,614;0,586;0,766;0,516;164;9,27;216;1721
Igrapiúna;13343;50,42;0,574;0,565;0,789;0,424;71;5,21;70;848
Iguaí;25705;76,32;0,552;0,559;0,786;0,382;308;10,03;299;3760
Ilhéus;184236;77,93;0,69;0,688;0,808;0,59;1191;7,2;1751;11794
Inhambupe;36306;72,83;0,565;0,556;0,757;0,429;307;7,56;397;3040
Ipecaetá;15331;41,84;0,55;0,506;0,776;0,424;153;9,85;207;2154
Ipiaú;44390;85,35;0,67;0,687;0,796;0,551;418;8,37;538;3876
Ipirá;59343;50,12;0,549;0,568;0,748;0,39;641;9,7;788;6264
Ipupiara;9285;76,65;0,59;0,558;0,736;0,499;111;11,71;141;793
Irajuba;7002;34,56;0,576;0,544;0,776;0,453;70;9,4;108;639
Iramaia;11990;44,81;0,571;0,543;0,74;0,463;112;8,47;141;1318
Iraquara;22601;64,78;0,599;0,548;0,749;0,523;164;8,07;270;2384
Irará;27466;55,16;0,62;0,587;0,809;0,501;213;8,79;371;1927
Irecê;66181;90,4;0,691;0,661;0,776;0,643;348;5,71;435;3958
Itabela;28390;73;0,599;0,614;0,751;0,465;187;5,86;149;2106
Itaberaba;61631;77,94;0,62;0,638;0,769;0,485;537;8,27;770;4535
Itabuna;204667;86,22;0,712;0,695;0,807;0,643;1371;7,7;2108;11921
Itacaré;24318;58,2;0,583;0,594;0,807;0,413;101;4,77;99;1513
Itaeté;14924;59,21;0,572;0,536;0,719;0,485;157;8,81;187;2067
Itagibá;15193;78,3;0,589;0,566;0,77;0,469;166;9,23;187;1693
Itagi;13051;71,86;0,543;0,543;0,694;0,426;156;10,13;195;1709
Itagimirim;7110;86,48;0,634;0,602;0,821;0,516;84;9,32;65;756
Itaguaçu da Bahia;13209;51,67;0,562;0,55;0,74;0,435;91;7;89;909
Itaju do Colônia;7309;68,6;0,592;0,57;0,724;0,502;67;7,62;69;867
Itajuípe;21081;75,26;0,599;0,609;0,759;0,466;192;9,39;212;1909
Itamaraju;63069;76,7;0,627;0,641;0,767;0,502;489;7,39;500;5011
Itamari;7903;66,9;0,578;0,595;0,713;0,454;95;8,63;74;599
Itambé;23089;87,07;0,578;0,589;0,75;0,436;219;8,68;229;2211
Itanagra;7598;63,42;0,584;0,577;0,796;0,433;46;5,46;47;552
Itanhém;20216;83,82;0,637;0,624;0,79;0,525;231;11,23;253;2272
